r	U
13,31	-3,15331E-05
13,32	-3,13678E-05
13,33	-3,12035E-05
13,34	-3,10402E-05
13,35	-3,08779E-05
13,36	-3,07166E-05
13,37	-3,05562E-05
13,38	-3,03968E-05
13,39	-3,02383E-05
13,4	-3,00808E-05
13,41	-2,99242E-05
13,42	-2,97685E-05
13,43	-2,96137E-05
13,44	-2,94599E-05
13,45	-2,9307E-05
13,46	-2,9155E-05
13,47	-2,90039E-05
13,48	-2,88537E-05
13,49	-2,87044E-05
13,5	-2,85559E-05
13,51	-2,84083E-05
13,52	-2,82617E-05
13,53	-2,81158E-05
13,54	-2,79709E-05
13,55	-2,78267E-05
13,56	-2,76835E-05
13,57	-2,7541E-05
13,58	-2,73994E-05
13,59	-2,72587E-05
13,6	-2,71188E-05
13,61	-2,69796E-05
13,62	-2,68413E-05
13,63	-2,67039E-05
13,64	-2,65672E-05
13,65	-2,64313E-05
13,66	-2,62962E-05
13,67	-2,61619E-05
13,68	-2,60284E-05
13,69	-2,58956E-05
13,7	-2,57637E-05
13,71	-2,56325E-05
13,72	-2,5502E-05
13,73	-2,53723E-05
13,74	-2,52434E-05
13,75	-2,51152E-05
13,76	-2,49878E-05
13,77	-2,48611E-05
13,78	-2,47351E-05
13,79	-2,46099E-05
13,8	-2,44854E-05
13,81	-2,43616E-05
13,82	-2,42385E-05
13,83	-2,41162E-05
13,84	-2,39945E-05
13,85	-2,38735E-05
13,86	-2,37533E-05
13,87	-2,36337E-05
13,88	-2,35148E-05
13,89	-2,33966E-05
13,9	-2,32791E-05
13,91	-2,31622E-05
13,92	-2,3046E-05
13,93	-2,29305E-05
13,94	-2,28157E-05
13,95	-2,27015E-05
13,96	-2,25879E-05
13,97	-2,2475E-05
13,98	-2,23628E-05
13,99	-2,22512E-05
14	-2,21402E-05
14,01	-2,20299E-05
14,02	-2,19201E-05
14,03	-2,1811E-05
